code,citystate,city,state
ANT,"ANTLER, ND",ANTLER,ND
CRY,"CARBURY, ND",CARBURY,ND
DNS,"DUNSEITH, ND",DUNSEITH,ND
FAR,"FARGO, ND",FARGO,ND
FRT,"FORTUNA, ND",FORTUNA,ND
GRF,"GRAND FORKS, ND",GRAND FORKS,ND
HNN,"HANNAH, ND",HANNAH,ND
HNS,"HANSBORO, ND",HANSBORO,ND
MAI,"MAIDA, ND",MAIDA,ND
MND,"MINOT, ND",MINOT,ND
NEC,"NECHE, ND",NECHE,ND
NOO,"NOONAN, ND",NOONAN,ND
NRG,"NORTHGATE, ND",NORTHGATE,ND
PEM,"PEMBINA, ND",PEMBINA,ND
SAR,"SARLES, ND",SARLES,ND
SHR,"SHERWOOD, ND",SHERWOOD,ND
SJO,"ST JOHN, ND",ST JOHN,ND
WAL,"WALHALLA, ND",WALHALLA,ND
WHO,"WESTHOPE, ND",WESTHOPE,ND
WND,"WILLISTON, ND",WILLISTON,ND
OMA,"OMAHA, NE",OMAHA,NE
LEB,"LEBANON, NH",LEBANON,NH
MHT,"MANCHESTER, NH",MANCHESTER,NH
PNH,"PITTSBURG, NH",PITTSBURG,NH
PSM,"PORTSMOUTH, NH",PORTSMOUTH,NH
BYO,"BAYONNE, NJ",BAYONNE,NJ
CNJ,"CAMDEN, NJ",CAMDEN,NJ
HOB,"HOBOKEN, NJ",HOBOKEN,NJ
JER,"JERSEY CITY, NJ",JERSEY CITY,NJ
WRI,"MC GUIRE AFB - WRIGHTSOWN, NJ",MC GUIRE AFB - WRIGHTSOWN,NJ
MMU,"MORRISTOWN, NJ",MORRISTOWN,NJ
NEW,"NEWARK/TETERBORO, NJ",NEWARK/TETERBORO,NJ
PER,"PERTH AMBOY, NJ",PERTH AMBOY,NJ
ACY,"POMONA FIELD - ATLANTIC CITY, NJ",POMONA FIELD - ATLANTIC CITY,NJ
ABQ,"ALBUQUERQUE, NM",ALBUQUERQUE,NM
ANP,"ANTELOPE WELLS, NM",ANTELOPE WELLS,NM
CRL,"CARLSBAD, NM",CARLSBAD,NM
COL,"COLUMBUS, NM",COLUMBUS,NM
CDD,"CRANE LAKE - ST. LOUIS CNTY, NM",CRANE LAKE - ST. LOUIS CNTY,NM
LAS,"LAS CRUCES, NM",LAS CRUCES,NM
RUI,"RUIDOSO, NM",RUIDOSO,NM
STR,"SANTA TERESA, NM",SANTA TERESA,NM
RNO,"CANNON INTL - RENO/TAHOE, NV",CANNON INTL - RENO/TAHOE,NV
FLX,"FALLON MUNICIPAL AIRPORT, NV",FALLON MUNICIPAL AIRPORT,NV
LVG,"LAS VEGAS, NV",LAS VEGAS,NV
REN,"RENO, NV",RENO,NV
ALB,"ALBANY, NY",ALBANY,NY
AXB,"ALEXANDRIA BAY, NY",ALEXANDRIA BAY,NY
BUF,"BUFFALO, NY",BUFFALO,NY
CNH,"CANNON CORNERS, NY",CANNON CORNERS,NY
CAP,"CAPE VINCENT, NY",CAPE VINCENT,NY
CHM,"CHAMPLAIN, NY",CHAMPLAIN,NY
CHT,"CHATEAUGAY, NY",CHATEAUGAY,NY
CLA,"CLAYTON, NY",CLAYTON,NY
FTC,"FORT COVINGTON, NY",FORT COVINGTON,NY
LAG,"LA GUARDIA, NY",LA GUARDIA,NY
LEW,"LEWISTON, NY",LEWISTON,NY
MAS,"MASSENA, NY",MASSENA,NY
MAG,"MCGUIRE AFB, NY",MCGUIRE AFB,NY
MOO,"MOORES, NY",MOORES,NY
MRR,"MORRISTOWN, NY",MORRISTOWN,NY
NYC,"NEW YORK, NY",NEW YORK,NY
NIA,"NIAGARA FALLS, NY",NIAGARA FALLS,NY
OGD,"OGDENSBURG, NY",OGDENSBURG,NY
OSW,"OSWEGO, NY",OSWEGO,NY
ELM,"REGIONAL ARPT - HORSEHEAD, NY",REGIONAL ARPT - HORSEHEAD,NY
ROC,"ROCHESTER, NY",ROCHESTER,NY
ROU,"ROUSES POINT, NY",ROUSES POINT,NY
SWF,"STEWART - ORANGE CNTY, NY",STEWART - ORANGE CNTY,NY
SYR,"SYRACUSE, NY",SYRACUSE,NY
THO,"THOUSAND ISLAND BRIDGE, NY",THOUSAND ISLAND BRIDGE,NY
TRO,"TROUT RIVER, NY",TROUT RIVER,NY
WAT,"WATERTOWN, NY",WATERTOWN,NY
HPN,"WESTCHESTER - WHITE PLAINS, NY",WESTCHESTER - WHITE PLAINS,NY
WRB,"WHIRLPOOL BRIDGE, NY",WHIRLPOOL BRIDGE,NY
YOU,"YOUNGSTOWN, NY",YOUNGSTOWN,NY
AKR,"AKRON, OH",AKRON,OH
ATB,"ASHTABULA, OH",ASHTABULA,OH
CIN,"CINCINNATI, OH",CINCINNATI,OH
CLE,"CLEVELAND, OH",CLEVELAND,OH
CLM,"COLUMBUS, OH",COLUMBUS,OH
LOR,"LORAIN, OH",LORAIN,OH
MBO,"MARBLE HEADS, OH",MARBLE HEADS,OH
SDY,"SANDUSKY, OH",SANDUSKY,OH
TOL,"TOLEDO, OH",TOLEDO,OH
OKC,"OKLAHOMA CITY, OK",OKLAHOMA CITY,OK
TUL,"TULSA, OK",TULSA,OK
AST,"ASTORIA, OR",ASTORIA,OR
COO,"COOS BAY, OR",COOS BAY,OR
HIO,"HILLSBORO, OR",HILLSBORO,OR
MED,"MEDFORD, OR",MEDFORD,OR
NPT,"NEWPORT, OR",NEWPORT,OR
POO,"PORTLAND, OR",PORTLAND,OR
PUT,"PUT-IN-BAY, OH",PUT-IN-BAY,OH
RDM,"ROBERTS FIELDS - REDMOND, OR",ROBERTS FIELDS - REDMOND,OR
ERI,"ERIE, PA",ERIE,PA
MDT,"HARRISBURG, PA",HARRISBURG,PA
HSB,"HARRISONBURG, PA",HARRISONBURG,PA
PHI,"PHILADELPHIA, PA",PHILADELPHIA,PA
PIT,"PITTSBURG, PA",PITTSBURG,PA
AGU,"AGUADILLA, PR",AGUADILLA,PR
BQN,"BORINQUEN - AGUADILLO, PR",BORINQUEN - AGUADILLO,PR
JCP,"CULEBRA - BENJAMIN RIVERA, PR",CULEBRA - BENJAMIN RIVERA,PR
ENS,"ENSENADA, PR",ENSENADA,PR
FAJ,"FAJARDO, PR",FAJARDO,PR
HUM,"HUMACAO, PR",HUMACAO,PR
JOB,"JOBOS, PR",JOBOS,PR
MAY,"MAYAGUEZ, PR",MAYAGUEZ,PR
PON,"PONCE, PR",PONCE,PR
PSE,"PONCE-MERCEDITA, PR",PONCE-MERCEDITA,PR
SAJ,"SAN JUAN, PR",SAN JUAN,PR
VQS,"VIEQUES-ARPT, PR",VIEQUES-ARPT,PR
PRO,"PROVIDENCE, RI",PROVIDENCE,RI
PVD,"THEODORE FRANCIS - WARWICK, RI",THEODORE FRANCIS - WARWICK,RI
CHL,"CHARLESTON, SC",CHARLESTON,SC
GEO,"GEORGETOWN, SC",GEORGETOWN,SC
GSP,"GREENVILLE, SC",GREENVILLE,SC
GRR,"GREER, SC",GREER,SC
MYR,"MYRTLE BEACH, SC",MYRTLE BEACH,SC
SPF,"BLACK HILLS, SPEARFISH, SD","BLACK HILLS, SPEARFISH",SD
HON,"HOWES REGIONAL ARPT - HURON, SD",HOWES REGIONAL ARPT - HURON,SD
TYS,"MC GHEE TYSON - ALCOA, TN",MC GHEE TYSON - ALCOA,TN
MEM,"MEMPHIS, TN",MEMPHIS,TN
NSV,"NASHVILLE, TN",NASHVILLE,TN
TRI,"TRI CITY ARPT, TN",TRI CITY ARPT,TN
ADS,"ADDISON AIRPORT- ADDISON, TX",ADDISON AIRPORT- ADDISON,TX
ADT,"AMISTAD DAM, TX",AMISTAD DAM,TX
ANZ,"ANZALDUAS, TX",ANZALDUAS,TX
AUS,"AUSTIN, TX",AUSTIN,TX
BEA,"BEAUMONT, TX",BEAUMONT,TX
SCC,"BP SPEC COORD. CTR, TX",BP SPEC COORD. CTR,TX
BTC,"BP TACTICAL UNIT, TX",BP TACTICAL UNIT,TX
BOA,"BRIDGE OF AMERICAS, TX",BRIDGE OF AMERICAS,TX
BRO,"BROWNSVILLE, TX",BROWNSVILLE,TX
CRP,"CORPUS CHRISTI, TX",CORPUS CHRISTI,TX
DAL,"DALLAS, TX",DALLAS,TX
DLR,"DEL RIO, TX",DEL RIO,TX
DNA,"DONNA, TX",DONNA,TX
EGP,"EAGLE PASS, TX",EAGLE PASS,TX
ELP,"EL PASO, TX",EL PASO,TX
FAB,"FABENS, TX",FABENS,TX
FAL,"FALCON HEIGHTS, TX",FALCON HEIGHTS,TX
FTH,"FORT HANCOCK, TX",FORT HANCOCK,TX
AFW,"FORT WORTH ALLIANCE, TX",FORT WORTH ALLIANCE,TX
FPT,"FREEPORT, TX",FREEPORT,TX
GAL,"GALVESTON, TX",GALVESTON,TX
HLG,"HARLINGEN, TX",HARLINGEN,TX
HID,"HIDALGO, TX",HIDALGO,TX
HOU,"HOUSTON, TX",HOUSTON,TX
SGR,"HULL FIELD, SUGAR LAND ARPT, TX","HULL FIELD, SUGAR LAND ARPT",TX
LLB,"JUAREZ-LINCOLN BRIDGE, TX",JUAREZ-LINCOLN BRIDGE,TX
LCB,"LAREDO COLUMBIA BRIDGE, TX",LAREDO COLUMBIA BRIDGE,TX
LRN,"LAREDO NORTH, TX",LAREDO NORTH,TX
LAR,"LAREDO, TX",LAREDO,TX
LSE,"LOS EBANOS, TX",LOS EBANOS,TX
IND,"LOS INDIOS, TX",LOS INDIOS,TX
LOI,"LOS INDIOS, TX",LOS INDIOS,TX
MCA,"MCALLEN, TX",MCALLEN,TX
MAF,"ODESSA REGIONAL, TX",ODESSA REGIONAL,TX
PDN,"PASO DEL NORTE,TX",PASO DEL NORTE,TX
PBB,"PEACE BRIDGE, NY",PEACE BRIDGE,NY
PHR,"PHARR, TX",PHARR,TX
PAR,"PORT ARTHUR, TX",PORT ARTHUR,TX
ISB,"PORT ISABEL, TX",PORT ISABEL,TX
POE,"PORT OF EL PASO, TX",PORT OF EL PASO,TX
PRE,"PRESIDIO, TX",PRESIDIO,TX
PGR,"PROGRESO, TX",PROGRESO,TX
RIO,"RIO GRANDE CITY, TX",RIO GRANDE CITY,TX
ROM,"ROMA, TX",ROMA,TX
SNA,"SAN ANTONIO, TX",SAN ANTONIO,TX
SNN,"SANDERSON, TX",SANDERSON,TX
VIB,"VETERAN INTL BRIDGE, TX",VETERAN INTL BRIDGE,TX
YSL,"YSLETA, TX",YSLETA,TX
CHA,"CHARLOTTE AMALIE, VI",CHARLOTTE AMALIE,VI
CHR,"CHRISTIANSTED, VI",CHRISTIANSTED,VI
CRU,"CRUZ BAY, ST JOHN, VI","CRUZ BAY, ST JOHN",VI
FRK,"FREDERIKSTED, VI",FREDERIKSTED,VI
STT,"ST THOMAS, VI",ST THOMAS,VI
LGU,"CACHE AIRPORT - LOGAN, UT",CACHE AIRPORT - LOGAN,UT
SLC,"SALT LAKE CITY, UT",SALT LAKE CITY,UT
CHO,"ALBEMARLE CHARLOTTESVILLE, VA",ALBEMARLE CHARLOTTESVILLE,VA
DAA,"DAVISON AAF - FAIRFAX CNTY, VA",DAVISON AAF - FAIRFAX CNTY,VA
HOP,"HOPEWELL, VA",HOPEWELL,VA
NWN,"NEWPORT, VA",NEWPORT,VA
NOR,"NORFOLK, VA",NORFOLK,VA
RCM,"RICHMOND, VA",RICHMOND,VA
ABS,"ALBURG SPRINGS, VT",ALBURG SPRINGS,VT
ABG,"ALBURG, VT",ALBURG,VT
BEB,"BEEBE PLAIN, VT",BEEBE PLAIN,VT
BEE,"BEECHER FALLS, VT",BEECHER FALLS,VT
BRG,"BURLINGTON, VT",BURLINGTON,VT
CNA,"CANAAN, VT",CANAAN,VT
ERC,"EAST RICHFORD, VT",EAST RICHFORD,VT
HIG,"HIGHGATE SPRINGS, VT",HIGHGATE SPRINGS,VT
MOR,"MORSES LINE, VT",MORSES LINE,VT
NPV,"NEWPORT, VT",NEWPORT,VT
NRT,"NORTH TROY, VT",NORTH TROY,VT
NRN,"NORTON, VT",NORTON,VT
PIV,"PINNACLE ROAD, VT",PINNACLE ROAD,VT
RIF,"RICHFORT, VT",RICHFORT,VT
STA,"ST ALBANS, VT",ST ALBANS,VT
WBE,"WEST BERKSHIRE, VT",WEST BERKSHIRE,VT
ABE,"ABERDEEN, WA",ABERDEEN,WA
ANA,"ANACORTES, WA",ANACORTES,WA
BEL,"BELLINGHAM, WA",BELLINGHAM,WA
BLA,"BLAINE, WA",BLAINE,WA
BWA,"BOUNDARY, WA",BOUNDARY,WA
DVL,"DANVILLE, WA",DANVILLE,WA
EVE,"EVERETT, WA",EVERETT,WA
FER,"FERRY, WA",FERRY,WA
FRI,"FRIDAY HARBOR, WA",FRIDAY HARBOR,WA
FWA,"FRONTIER, WA",FRONTIER,WA
KLM,"KALAMA, WA",KALAMA,WA
LAU,"LAURIER, WA",LAURIER,WA
LON,"LONGVIEW, WA",LONGVIEW,WA
MET,"METALINE FALLS, WA",METALINE FALLS,WA
MWH,"MOSES LAKE GRANT COUNTY ARPT, WA",MOSES LAKE GRANT COUNTY ARPT,WA
NEA,"NEAH BAY, WA",NEAH BAY,WA
NIG,"NIGHTHAWK, WA",NIGHTHAWK,WA
OLY,"OLYMPIA, WA",OLYMPIA,WA
ORO,"OROVILLE, WA",OROVILLE,WA
PWB,"PASCO, WA",PASCO,WA
PIR,"POINT ROBERTS, WA",POINT ROBERTS,WA
PNG,"PORT ANGELES, WA",PORT ANGELES,WA
PTO,"PORT TOWNSEND, WA",PORT TOWNSEND,WA
SEA,"SEATTLE, WA",SEATTLE,WA
SPO,"SPOKANE, WA",SPOKANE,WA
SUM,"SUMAS, WA",SUMAS,WA
TAC,"TACOMA, WA",TACOMA,WA
PSC,"TRI-CITIES - PASCO, WA",TRI-CITIES - PASCO,WA
VAN,"VANCOUVER, WA",VANCOUVER,WA
AGM,"ALGOMA, WI",ALGOMA,WI
BAY,"BAYFIELD, WI",BAYFIELD,WI
GRB,"GREEN BAY, WI",GREEN BAY,WI
MNW,"MANITOWOC, WI",MANITOWOC,WI
MIL,"MILWAUKEE, WI",MILWAUKEE,WI
MSN,"TRUAX FIELD - DANE COUNTY, WI",TRUAX FIELD - DANE COUNTY,WI
CHS,"CHARLESTON, WV",CHARLESTON,WV
CLK,"CLARKSBURG, WV",CLARKSBURG,WV
BLF,"MERCER COUNTY, WV",MERCER COUNTY,WV
CSP,"CASPER, WY",CASPER,WY
MTY,"GEN M. ESCOBEDO, Monterrey, MX","GEN M. ESCOBEDO, Monterrey",MX
HMO,"GEN PESQUEIRA GARCIA, MX",GEN PESQUEIRA GARCIA,MX
GDL,"GUADALAJARA, MIGUEL HIDAL, MX","GUADALAJARA, MIGUEL HIDAL",MX
MEX,"JUAREZ INTL, MEXICO CITY, MX","JUAREZ INTL, MEXICO CITY",MX
CNC,"CANNON CORNERS, NY",CANNON CORNERS,NY
AG0,"MAGNOLIA, AR",MAGNOLIA,AR
BHM,"BAR HARBOR, ME",BAR HARBOR,ME
BHX,"BIRMINGHAM, AL",BIRMINGHAM,AL
CAK,"AKRON, OH",AKRON,OH
FOK,"SUFFOLK COUNTY, NY",SUFFOLK COUNTY,NY
LND,"LANDER, WY",LANDER,WY
MAR,"MARFA, TX",MARFA,TX
MLI,"MOLINE, IL",MOLINE,IL
RIV,"RIVERSIDE, CA",RIVERSIDE,CA
RME,"ROME, NY",ROME,NY
VNY,"VAN NUYS, CA",VAN NUYS,CA
YUM,"YUMA, AZ",YUMA,AZ
